card_id,customer_id,card_type,credit_limit,outstanding_balance,available_credit,utilization_percentage,card_status,payment_due_date
CARD000001,CUST000149,VISA,200000.0,31201.23,168798.77,15.6,ACTIVE,2026-07-27
CARD000002,CUST000194,MASTERCARD,50000.0,25274.26,24725.74,50.55,ACTIVE,2026-08-17
CARD000003,CUST000262,VISA,150000.0,16122.8,133877.2,10.75,ACTIVE,2026-08-06
CARD000004,CUST000050,MASTERCARD,50000.0,14146.77,35853.23,28.29,BLOCKED,2026-08-02
CARD000005,CUST000419,AMEX,100000.0,39918.59,60081.41,39.92,ACTIVE,2026-08-19
CARD000006,CUST000242,MASTERCARD,500000.0,104207.57,395792.43,20.84,ACTIVE,2026-08-13
CARD000007,CUST000178,MASTERCARD,100000.0,48222.9,51777.1,48.22,EXPIRED,2026-08-19
CARD000008,CUST000310,MASTERCARD,50000.0,15185.8,34814.2,30.37,ACTIVE,2026-08-07
CARD000009,CUST000311,AMEX,300000.0,239591.35,60408.65,79.86,EXPIRED,2026-08-20
CARD000010,CUST000377,RUPAY,50000.0,37068.9,12931.1,74.14,ACTIVE,2026-08-05
CARD000011,CUST000269,MASTERCARD,500000.0,9459.03,490540.97,1.89,ACTIVE,2026-08-22
CARD000012,CUST000263,RUPAY,50000.0,4190.61,45809.39,8.38,ACTIVE,2026-08-06
CARD000013,CUST000155,MASTERCARD,300000.0,71788.59,228211.41,23.93,BLOCKED,2026-07-29
CARD000014,CUST000227,MASTERCARD,150000.0,11346.64,138653.36,7.56,ACTIVE,2026-08-10
CARD000015,CUST000258,RUPAY,50000.0,26523.04,23476.96,53.05,ACTIVE,2026-08-18
CARD000016,CUST000072,RUPAY,100000.0,16801.69,83198.31,16.8,ACTIVE,2026-07-31
CARD000017,CUST000468,MASTERCARD,100000.0,73272.9,26727.1,73.27,BLOCKED,2026-07-29
CARD000018,CUST000493,MASTERCARD,200000.0,56280.06,143719.94,28.14,EXPIRED,2026-08-12
CARD000019,CUST000171,VISA,200000.0,148560.38,51439.62,74.28,ACTIVE,2026-08-02
CARD000020,CUST000201,MASTERCARD,300000.0,11642.18,288357.82,3.88,ACTIVE,2026-08-05
CARD000021,CUST000353,VISA,200000.0,133614.16,66385.84,66.81,ACTIVE,2026-08-06
CARD000022,CUST000100,VISA,500000.0,93207.05,406792.95,18.64,ACTIVE,2026-08-13
CARD000023,CUST000483,VISA,50000.0,12866.37,37133.63,25.73,ACTIVE,2026-08-07
CARD000024,CUST000394,RUPAY,100000.0,68519.61,31480.39,68.52,ACTIVE,2026-08-01
CARD000025,CUST000404,VISA,200000.0,10723.16,189276.84,5.36,ACTIVE,2026-08-10
CARD000026,CUST000299,VISA,200000.0,98440.38,101559.62,49.22,ACTIVE,2026-08-11
CARD000027,CUST000157,VISA,500000.0,116226.92,383773.08,23.25,ACTIVE,2026-08-18
CARD000028,CUST000397,MASTERCARD,200000.0,5840.16,194159.84,2.92,ACTIVE,2026-08-06
CARD000029,CUST000003,MASTERCARD,500000.0,106569.2,393430.8,21.31,ACTIVE,2026-08-01
CARD000030,CUST000179,VISA,500000.0,33366.21,466633.79,6.67,ACTIVE,2026-08-11
CARD000031,CUST000133,VISA,50000.0,14154.08,35845.92,28.31,ACTIVE,2026-07-27
CARD000032,CUST000366,MASTERCARD,150000.0,92870.31,57129.69,61.91,ACTIVE,2026-08-11
CARD000033,CUST000274,MASTERCARD,50000.0,38319.52,11680.48,76.64,ACTIVE,2026-08-08
CARD000034,CUST000310,RUPAY,50000.0,36303.23,13696.77,72.61,ACTIVE,2026-08-14
CARD000035,CUST000303,MASTERCARD,300000.0,243822.67,56177.33,81.27,EXPIRED,2026-08-02
CARD000036,CUST000107,VISA,50000.0,42614.06,7385.94,85.23,BLOCKED,2026-08-04
CARD000037,CUST000196,AMEX,100000.0,67156.03,32843.97,67.16,ACTIVE,2026-08-02
CARD000038,CUST000127,VISA,200000.0,836.79,199163.21,0.42,ACTIVE,2026-08-06
CARD000039,CUST000240,MASTERCARD,200000.0,20113.35,179886.65,10.06,ACTIVE,2026-08-14
CARD000040,CUST000337,VISA,150000.0,47521.84,102478.16,31.68,ACTIVE,2026-08-03
CARD000041,CUST000007,MASTERCARD,500000.0,114895.48,385104.52,22.98,EXPIRED,2026-08-11
CARD000042,CUST000141,VISA,150000.0,10758.92,139241.08,7.17,ACTIVE,2026-08-09
CARD000043,CUST000362,MASTERCARD,200000.0,153943.99,46056.01,76.97,ACTIVE,2026-08-05
CARD000044,CUST000448,MASTERCARD,300000.0,208788.55,91211.45,69.6,ACTIVE,2026-08-12
CARD000045,CUST000463,MASTERCARD,50000.0,5586.85,44413.15,11.17,ACTIVE,2026-08-20
CARD000046,CUST000348,RUPAY,200000.0,33030.5,166969.5,16.52,ACTIVE,2026-08-01
CARD000047,CUST000280,VISA,150000.0,83779.75,66220.25,55.85,ACTIVE,2026-08-16
CARD000048,CUST000132,RUPAY,500000.0,38701.1,461298.9,7.74,ACTIVE,2026-07-28
CARD000049,CUST000428,VISA,100000.0,64330.4,35669.6,64.33,ACTIVE,2026-08-20
CARD000050,CUST000349,VISA,100000.0,55353.81,44646.19,55.35,ACTIVE,2026-08-21
CARD000051,CUST000247,VISA,150000.0,91575.55,58424.45,61.05,ACTIVE,2026-08-14
CARD000052,CUST000221,VISA,100000.0,47027.87,52972.13,47.03,BLOCKED,2026-08-01
CARD000053,CUST000264,RUPAY,300000.0,40798.12,259201.88,13.6,ACTIVE,2026-08-15
CARD000054,CUST000323,VISA,50000.0,717.77,49282.23,1.44,ACTIVE,2026-07-28
CARD000055,CUST000122,MASTERCARD,500000.0,252058.38,247941.62,50.41,ACTIVE,2026-08-01
CARD000056,CUST000378,VISA,50000.0,24335.07,25664.93,48.67,ACTIVE,2026-08-23
CARD000057,CUST000206,VISA,500000.0,121835.22,378164.78,24.37,ACTIVE,2026-08-07
CARD000058,CUST000013,RUPAY,200000.0,122395.11,77604.89,61.2,ACTIVE,2026-08-14
CARD000059,CUST000049,MASTERCARD,100000.0,9388.78,90611.22,9.39,ACTIVE,2026-07-27
CARD000060,CUST000020,MASTERCARD,500000.0,123075.66,376924.34,24.62,ACTIVE,2026-08-21
CARD000061,CUST000287,RUPAY,200000.0,153287.58,46712.42,76.64,ACTIVE,2026-08-01
CARD000062,CUST000136,VISA,100000.0,92971.19,7028.81,92.97,ACTIVE,2026-08-16
