deposit_id,customer_id,deposit_type,principal_amount,interest_rate,term_months,maturity_date,deposit_status,opened_date
DEP0000001,CUST000079,FIXED,986734.38,5.84,60,2030-12-09,CLOSED,2025-12-11
DEP0000002,CUST000033,RECURRING,509993.98,7.16,6,2023-05-01,ACTIVE,2022-10-31
DEP0000003,CUST000254,RECURRING,111400.34,6.47,6,2023-11-26,ACTIVE,2023-05-28
DEP0000004,CUST000392,RECURRING,975047.43,7.64,12,2024-03-10,ACTIVE,2023-03-12
DEP0000005,CUST000404,RECURRING,56871.28,6.46,6,2024-09-26,MATURED,2024-03-28
DEP0000006,CUST000337,FIXED,978440.91,5.93,6,2025-03-17,ACTIVE,2024-09-16
DEP0000007,CUST000156,FIXED,551223.21,6.27,6,2026-04-08,ACTIVE,2025-10-08
DEP0000008,CUST000197,FIXED,153673.27,7.42,36,2025-12-13,ACTIVE,2022-12-15
DEP0000009,CUST000120,RECURRING,53961.54,7.58,12,2023-09-15,ACTIVE,2022-09-16
DEP0000010,CUST000086,RECURRING,102627.37,6.35,60,2027-05-11,ACTIVE,2022-05-13
DEP0000011,CUST000298,FIXED,472207.5,5.64,18,2025-11-28,ACTIVE,2024-05-30
DEP0000012,CUST000342,FIXED,180990.36,7.71,12,2023-08-31,ACTIVE,2022-09-01
DEP0000013,CUST000415,FIXED,261661.26,7.48,36,2026-03-06,ACTIVE,2023-03-08
DEP0000014,CUST000337,FIXED,694812.39,6.44,24,2026-02-02,MATURED,2024-02-04
DEP0000015,CUST000271,FIXED,15683.51,7.03,12,2025-12-12,ACTIVE,2024-12-13
DEP0000016,CUST000319,RECURRING,414484.9,7.3,6,2022-06-10,ACTIVE,2021-12-10
DEP0000017,CUST000101,RECURRING,300729.15,7.51,60,2030-01-19,MATURED,2025-01-21
DEP0000018,CUST000067,RECURRING,790513.5,7.1,12,2023-11-18,ACTIVE,2022-11-19
DEP0000019,CUST000051,FIXED,172964.56,7.05,6,2026-11-29,ACTIVE,2026-05-31
DEP0000020,CUST000186,FIXED,369962.46,5.89,36,2028-07-18,ACTIVE,2025-07-20
DEP0000021,CUST000206,FIXED,865944.58,5.51,6,2024-11-12,MATURED,2024-05-14
DEP0000022,CUST000028,FIXED,542435.77,7.38,6,2023-01-23,MATURED,2022-07-25
DEP0000023,CUST000377,FIXED,971080.44,6.89,12,2027-01-05,ACTIVE,2026-01-06
DEP0000024,CUST000325,RECURRING,469520.21,7.41,6,2024-04-18,ACTIVE,2023-10-19
DEP0000025,CUST000034,RECURRING,206718.56,6.03,60,2028-11-28,ACTIVE,2023-12-01
DEP0000026,CUST000323,RECURRING,490994.25,7.7,18,2026-06-22,MATURED,2024-12-22
DEP0000027,CUST000105,FIXED,606763.88,5.92,60,2027-12-29,ACTIVE,2022-12-31
DEP0000028,CUST000425,FIXED,340729.14,6.8,12,2023-07-23,ACTIVE,2022-07-24
DEP0000029,CUST000479,FIXED,606671.16,7.12,18,2025-02-02,ACTIVE,2023-08-05
DEP0000030,CUST000276,RECURRING,395323.87,6.39,60,2026-12-17,CLOSED,2021-12-19
DEP0000031,CUST000184,FIXED,759229.11,7.66,24,2026-08-31,ACTIVE,2024-09-01
