transaction_id,account_id,transaction_type,merchant_name,transaction_amount,transaction_status,transaction_timestamp,decline_reason
TXN00000001,CARD000250,PURCHASE,DMart,25438.07,APPROVED,2026-07-16 17:15:48.036829,
TXN00000002,CARD000061,PURCHASE,Flipkart,67439.64,DECLINED,2026-07-18 03:58:48.036829,MERCHANT_NOT_SUPPORTED
TXN00000003,ACC0000158,TRANSFER,Swiggy,45988.18,APPROVED,2026-07-07 10:12:48.036829,
TXN00000004,ACC0000177,DEPOSIT,Apollo Pharmacy,7076.91,APPROVED,2026-07-15 07:27:48.036829,
TXN00000005,CARD000199,PURCHASE,Nykaa,49570.66,APPROVED,2026-04-05 11:29:48.036829,
TXN00000006,ACC0000659,PURCHASE,Tata CLiQ,68225.39,APPROVED,2026-04-01 01:53:48.036829,
TXN00000007,CARD000009,PURCHASE,Ola,22069.13,APPROVED,2026-06-02 19:22:48.036829,
TXN00000008,CARD000300,PURCHASE,Swiggy,42032.7,APPROVED,2026-07-18 15:36:48.036829,
TXN00000009,ACC0000640,DEPOSIT,Apollo Pharmacy,22598.36,DECLINED,2026-07-03 07:36:48.036829,INVALID_PIN
TXN00000010,CARD000206,PURCHASE,Zomato,271.0,DECLINED,2026-03-30 13:30:48.036829,INSUFFICIENT_CREDIT_LIMIT
TXN00000011,CARD000143,PURCHASE,IRCTC,24734.97,APPROVED,2026-06-24 11:35:48.036829,
TXN00000012,ACC0000680,PURCHASE,BigBasket,74413.19,APPROVED,2026-05-10 23:21:48.036829,
TXN00000013,ACC0000180,PURCHASE,Swiggy,4896.88,APPROVED,2026-07-09 19:25:48.036829,
TXN00000014,ACC0000085,TRANSFER,Uber,48742.91,APPROVED,2026-06-20 19:26:48.036829,
TXN00000015,CARD000194,PURCHASE,Nykaa,66226.93,APPROVED,2026-07-16 21:38:48.036829,
TXN00000016,ACC0000425,DEPOSIT,Myntra,66471.81,APPROVED,2026-06-28 19:16:48.036829,
TXN00000017,ACC0000002,PAYMENT,Flipkart,65073.65,APPROVED,2026-05-05 17:34:48.036829,
TXN00000018,ACC0000683,PAYMENT,MakeMyTrip,67154.42,APPROVED,2026-07-19 07:10:48.036829,
TXN00000019,ACC0000380,DEPOSIT,Apollo Pharmacy,70635.96,APPROVED,2026-04-14 15:22:48.036829,
TXN00000020,ACC0000608,TRANSFER,Myntra,55806.19,APPROVED,2026-06-07 14:13:48.036829,
TXN00000021,CARD000196,PURCHASE,BookMyShow,71524.73,APPROVED,2026-06-22 05:22:48.036829,
